# 成语整词拼音覆盖表（解决多音字/变调），数据源自 https://github.com/mozillazg/phrase-pinyin-data (MIT)
# 格式：成语 声母,韵母,声调 ×4（按字顺序）；一/不 统一回本调 1/4 声
一心一意 y,i,1 x,in,1 y,i,1 y,i,4
六神无主 l,iu,4 sh,en,2 w,u,2 zh,u,3
七上八下 q,i,1 sh,ang,4 b,a,1 x,ia,4
八仙过海 b,a,1 x,ian,1 g,uo,4 h,ai,3
九牛一毛 j,iu,3 n,iu,2 y,i,1 m,ao,2
百发百中 b,ai,3 f,a,1 b,ai,3 zh,ong,4
千军万马 q,ian,1 j,un,1 w,an,4 m,a,3
万众一心 w,an,4 zh,ong,4 y,i,1 x,in,1
画蛇添足 h,ua,4 sh,e,2 t,ian,1 z,u,2
守株待兔 sh,ou,3 zh,u,1 d,ai,4 t,u,4
亡羊补牢 w,ang,2 y,ang,2 b,u,3 l,ao,2
井底之蛙 j,ing,3 d,i,3 zh,i,1 w,a,1
杯弓蛇影 b,ei,1 g,ong,1 sh,e,2 y,ing,3
狐假虎威 h,u,2 j,ia,3 h,u,3 w,ei,1
对牛弹琴 d,ui,4 n,iu,2 t,an,2 q,in,2
精卫填海 j,ing,1 w,ei,4 t,ian,2 h,ai,3
夸父逐日 k,ua,1 f,u,4 zh,u,2 r,i,4
卧虎藏龙 w,o,4 h,u,3 c,ang,2 l,ong,2
鸡犬不宁 j,i,1 q,uan,3 b,u,4 n,ing,2
狗急跳墙 g,ou,3 j,i,2 t,iao,4 q,iang,2
虎头蛇尾 h,u,3 t,ou,2 sh,e,2 w,ei,3
马不停蹄 m,a,3 b,u,4 t,ing,2 t,i,2
羊肠小道 y,ang,2 ch,ang,2 x,iao,3 d,ao,4
鸡飞蛋打 j,i,1 f,ei,1 d,an,4 d,a,3
一帆风顺 y,i,1 f,an,1 f,eng,1 sh,un,4
一鸣惊人 y,i,1 m,ing,2 j,ing,1 r,en,2
一视同仁 y,i,1 sh,i,4 t,ong,2 r,en,2
一塌糊涂 y,i,1 t,a,1 h,u,2 t,u,2
一气呵成 y,i,1 q,i,4 h,e,1 ch,eng,2
一窍不通 y,i,1 q,iao,4 b,u,4 t,ong,1
一蹶不振 y,i,1 j,ue,2 b,u,4 zh,en,4
一劳永逸 y,i,1 l,ao,2 y,ong,3 y,i,4
一诺千金 y,i,1 n,uo,4 q,ian,1 j,in,1
一举两得 y,i,1 j,u,3 l,iang,3 d,e,2
一落千丈 y,i,1 l,uo,4 q,ian,1 zh,ang,4
一望无际 y,i,1 w,ang,4 w,u,2 j,i,4
一筹莫展 y,i,1 ch,ou,2 m,o,4 zh,an,3
一触即发 y,i,1 ch,u,4 j,i,2 f,a,1
一针见血 y,i,1 zh,en,1 j,ian,4 x,ie,3
一叶知秋 y,i,1 y,e,4 zh,i,1 q,iu,1
一如既往 y,i,1 r,u,2 j,i,4 w,ang,3
二话不说 -,er,4 h,ua,4 b,u,4 sh,uo,1
三长两短 s,an,1 ch,ang,2 l,iang,3 d,uan,3
三言两语 s,an,1 y,an,2 l,iang,3 y,u,3
五颜六色 w,u,3 y,an,2 l,iu,4 s,e,4
七零八落 q,i,1 l,ing,2 b,a,1 l,uo,4
九死一生 j,iu,3 s,i,3 y,i,1 sh,eng,1
十万火急 sh,i,2 w,an,4 h,uo,3 j,i,2
百折不挠 b,ai,3 zh,e,2 b,u,4 n,ao,2
千山万水 q,ian,1 sh,an,1 w,an,4 sh,ui,3
千变万化 q,ian,1 b,ian,4 w,an,4 h,ua,4
万紫千红 w,an,4 z,i,3 q,ian,1 h,ong,2
万无一失 w,an,4 w,u,2 y,i,1 sh,i,1
万古长青 w,an,4 g,u,3 ch,ang,2 q,ing,1
人杰地灵 r,en,2 j,ie,2 d,i,4 l,ing,2
入木三分 r,u,4 m,u,4 s,an,1 f,en,1
力不从心 l,i,4 b,u,4 c,ong,2 x,in,1
力争上游 l,i,4 zh,eng,1 sh,ang,4 y,ou,2
力所能及 l,i,4 s,uo,3 n,eng,2 j,i,2
大千世界 d,a,4 q,ian,1 sh,i,4 j,ie,4
大公无私 d,a,4 g,ong,1 w,u,2 s,i,1
大同小异 d,a,4 t,ong,2 x,iao,3 y,i,4
大器晚成 d,a,4 q,i,4 w,an,3 ch,eng,2
大显身手 d,a,4 x,ian,3 sh,en,1 sh,ou,3
大言不惭 d,a,4 y,an,2 b,u,4 c,an,2
大惊小怪 d,a,4 j,ing,1 x,iao,3 g,uai,4
大智若愚 d,a,4 zh,i,4 r,uo,4 y,u,2
大材小用 d,a,4 c,ai,2 x,iao,3 y,ong,4
大海捞针 d,a,4 h,ai,3 l,ao,1 zh,en,1
小题大做 x,iao,3 t,i,2 d,a,4 z,uo,4
雪中送炭 x,ue,3 zh,ong,1 s,ong,4 t,an,4
锦上添花 j,in,3 sh,ang,4 t,ian,1 h,ua,1
口若悬河 k,ou,3 r,uo,4 x,uan,2 h,e,2
山穷水尽 sh,an,1 q,iong,2 sh,ui,3 j,in,4
千钧一发 q,ian,1 j,un,1 y,i,1 f,a,4
义不容辞 y,i,4 b,u,4 r,ong,2 c,i,2
不可思议 b,u,4 k,e,3 s,i,1 y,i,4
不劳而获 b,u,4 l,ao,2 -,er,2 h,uo,4
不约而同 b,u,4 y,ue,1 -,er,2 t,ong,2
不言而喻 b,u,4 y,an,2 -,er,2 y,u,4
不择手段 b,u,4 z,e,2 sh,ou,3 d,uan,4
不知所措 b,u,4 zh,i,1 s,uo,3 c,uo,4
不以为然 b,u,4 y,i,3 w,ei,2 r,an,2
不速之客 b,u,4 s,u,4 zh,i,1 k,e,4
不谋而合 b,u,4 m,ou,2 -,er,2 h,e,2
不计其数 b,u,4 j,i,4 q,i,2 sh,u,4
日积月累 r,i,4 j,i,1 y,ue,4 l,ei,3
风平浪静 f,eng,1 p,ing,2 l,ang,4 j,ing,4
风和日丽 f,eng,1 h,e,2 r,i,4 l,i,4
风调雨顺 f,eng,1 t,iao,2 y,u,3 sh,un,4
风雨同舟 f,eng,1 y,u,3 t,ong,2 zh,ou,1
风花雪月 f,eng,1 h,ua,1 x,ue,3 y,ue,4
水涨船高 sh,ui,3 zh,ang,3 ch,uan,2 g,ao,1
水落石出 sh,ui,3 l,uo,4 sh,i,2 ch,u,1
水滴石穿 sh,ui,3 d,i,1 sh,i,2 ch,uan,1
水到渠成 sh,ui,3 d,ao,4 q,u,2 ch,eng,2
心安理得 x,in,1 -,an,1 l,i,3 d,e,2
